Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 2.3438767062427046Solution So Far: Solution: [-0.43900055703696217, -0.7695134122583124, -0.7164809469438621, 0.02309017315730194, -0.34722195314620263, 0.15501920265020314, 0.2937638636756941, -0.7053195034458997];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 1.160763100724712Solution So Far: Solution: [-0.15525408132514384, -0.48342273082444354, 0.5765889068964243, -0.7685915104076233, -0.6649508585468874, 0.1416101989205717, -0.7459514719731148, -0.5930114666447329];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 3.5772736003815124Solution So Far: Solution: [0.7416397791352761, -0.38462008856045826, -0.1737505704138425, 0.3776221561989014, -0.5846376191484114, -0.6042073000215529, -0.23760693074163275, -0.7641126218758216];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.8270327009848928Solution So Far: Solution: [0.3637430902669909, 0.26391821928239456, 0.7587759047512177, -0.42558166838577705, -0.7483502477478247, 0.6673957038242894, -0.1245998619955141, 0.3745883883060717];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.9369593204613413Solution So Far: Solution: [-0.5329436775106627, -0.721350843698694, -0.640677518414816, -0.10308955200696827, -0.12115737461437281, 0.5341199067779432, 0.760032165466329, -0.5750532445771956];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 1.0501781109979458Solution So Far: Solution: [0.2347006538594022, 0.20593700986546815, -0.03360171872700332, 0.045749890438487206, -0.5169185207604571, 0.7353315213818847, 0.779590813800761, 0.4068842440964579];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 1.9594424222945617Solution So Far: Solution: [-0.5258820767358867, 0.6622422869734158, 0.7853860957685225, -0.048810078707026916, -0.6293849190270757, 0.7719051309695575, -0.06273411611159618, -0.7657706304948048];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.065890535328112Solution So Far: Solution: [0.015343977174893143, -0.32627331217116595, -0.19990232480838274, 0.531509412866814, -0.6140737860929734, 0.26235228626431195, 0.6880531258467594, -0.5946231328438033];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.065890535328112Solution So Far: Solution: [0.015343977174893143, -0.32627331217116595, -0.19990232480838274, 0.531509412866814, -0.6140737860929734, 0.26235228626431195, 0.6880531258467594, -0.5946231328438033];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.14498354246000997Solution So Far: Solution: [0.3829804428100249, -0.3660923353655527, 0.26600368553909426, -0.7206256045983664, -0.7749254807443278, 0.7229012924241031, 0.7596372909429946, -0.6049455746191155];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.08694056384078605Solution So Far: Solution: [0.45568199652273933, 0.1847236029421075, -0.45297350310726964, 0.7852894907319609, -0.3184683574355489, 0.5683497877407092, 0.6053753684395388, -0.6364778129393518];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.317513178014727Solution So Far: Solution: [0.11801335543103536, 0.5828644501281888, 0.38289050542287817, -0.7546949311767296, 0.0202812096282452, 0.4075051837617383, 0.6299379292761167, -0.782618871401738];

Generation: 1; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.317513178014727Solution So Far: Solution: [0.11801335543103536, 0.5828644501281888, 0.38289050542287817, -0.7546949311767296, 0.0202812096282452, 0.4075051837617383, 0.6299379292761167, -0.782618871401738];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.4017782562574617Solution So Far: Solution: [0.39733772957979135, -0.36812940941427647, -0.3356450758088685, -0.7835182195565371, -0.713150346828331, 0.6862832600991507, 0.7811836636819225, -0.578091191101234];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.16823909345343024Solution So Far: Solution: [0.16594108997047297, -0.22832891422435964, -0.22454961940845752, -0.7853964110952831, 0.08101560221586745, 0.007429159907101968, -0.07269736083177514, -0.749727764712587];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.15214951754922001Solution So Far: Solution: [0.429009314487378, 0.7621812255978903, 0.17715686893082644, -0.15959196999905684, -0.6575944841599068, 0.12303256564897797, 0.18245289596933212, 0.07780475301156131];

Generation: 2; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.097132105245512Solution So Far: Solution: [0.734813377925361, 0.4013226490836216, 0.753447258273586, -0.3022415547400601, -0.6484759285398203, 0.20523439783126962, 0.2337114156973612, -0.690881919096463];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -1.0231565684336545Solution So Far: Solution: [0.06289223696970442, 0.4613346417996284, 0.7111666573827943, -0.7743825045654503, -0.553977673877025, 0.3694016348825587, 0.6541785750130961, -0.44366576786226114];

