Generation: 0; Duration: 2; MaxIterations: 1; Population: 12; Fitness: 2.5737753600633724; Solution So Far: Solution: [-0.5652108600578467, -0.03332317973427398, 0.7578884305492438, 0.4846901728353062, -0.7356584314904565, 0.4717393467929875, 0.769031179036091, -0.4006699617435621];

Generation: 0; Duration: 2; MaxIterations: 1; Population: 12; Fitness: 1.100296251024432; Solution So Far: Solution: [-0.5784749266039351, -0.6387793476725153, -0.023223182776108242, -0.6606052895627404, -0.5815676206038417, -0.3637255859333721, 0.7686180743738993, 0.005441223709819795];

Generation: 0; Duration: 2; MaxIterations: 1; Population: 12; Fitness: 0.08199795004343613; Solution So Far: Solution: [0.47864977937128733, 0.28262770106252516, -0.5570633623089832, 0.3189491089453771, -0.7614685543597686, 0.14187954563844485, 0.4622044809378405, 0.18257045452823473];

Generation: 0; Duration: 2; MaxIterations: 1; Population: 12; Fitness: -0.2598029097659193; Solution So Far: Solution: [-0.5170697213949342, -0.07913064822507994, 0.15292595375432574, -0.03252171339532195, 0.2652718741815798, 0.47858843840272225, 0.09227467635234587, 0.3408327429007825];

Generation: 0; Duration: 2; MaxIterations: 1; Population: 12; Fitness: 1.1144958579042017; Solution So Far: Solution: [-0.7352828348251833, -0.2312980918024134, 0.734504325031015, 0.7480331046151081, -0.5982436384216194, 0.4642361940654831, -0.047320346029875004, -0.0017456064557093975];

Generation: 0; Duration: 2; MaxIterations: 1; Population: 12; Fitness: -0.0011447665084584474; Solution So Far: Solution: [-0.4588862488702151, -0.4229513851303901, 0.05935531190491666, 0.45169451084892487, -0.05941625300325115, 0.46098012174835745, 0.3247423225669044, 0.5054081311223761];

Generation: 0; Duration: 2; MaxIterations: 1; Population: 12; Fitness: -0.17803179487592466; Solution So Far: Solution: [-0.5371051674399278, -0.04338869743164843, 0.4515989903597591, 0.7796130343277922, 0.5033700238746065, 0.6935804656303785, 0.34481182929229437, -0.3958703250223773];

Generation: 0; Duration: 2; MaxIterations: 1; Population: 12; Fitness: 0.7929288197929252; Solution So Far: Solution: [-0.7795158586969128, -0.6986137921987204, 0.6927652461509776, -0.027765710831658574, -0.7650506399514877, 0.08544123174651796, -0.6158398631680899, 0.659973085794187];

Generation: 0; Duration: 2; MaxIterations: 1; Population: 12; Fitness: 0.020827751368950848; Solution So Far: Solution: [-0.32900418118286234, 0.3062731478195345, -0.2392509522040675, 0.3246956629003517, -0.2660647765778862, 0.42836004522673377, 0.08174129578397715, 0.25025605876864226];

Generation: 0; Duration: 2; MaxIterations: 1; Population: 12; Fitness: -0.2598029097659193; Solution So Far: Solution: [-0.5170697213949342, -0.07913064822507994, 0.15292595375432574, -0.03252171339532195, 0.2652718741815798, 0.47858843840272225, 0.09227467635234587, 0.3408327429007825];

