Generation: 0; Duration: 2; MaxIterations: 2; Population: 12; Fitness: 0.5677901316994122; Solution So Far: Solution: [0.5240016421146929, -0.6889874767880966, -0.5746245866930266, -0.04096462896372405, 0.6470253755064922, -0.6685397753908102, -0.6330658280245165, 0.7637650646751645];

Generation: 0; Duration: 2; MaxIterations: 2; Population: 12; Fitness: 0.5140843833067394; Solution So Far: Solution: [0.6172003637136021, 0.6287064756352757, -0.5783204543847653, -0.007629417400962901, -0.06889558693045855, -0.6747966281930422, -0.11937212428705951, 0.7386019399546472];

Generation: 0; Duration: 2; MaxIterations: 2; Population: 12; Fitness: 0.046524092704365146; Solution So Far: Solution: [-0.2701124882751378, 0.2302830441490848, -0.06314666860394008, -0.5931699100293386, 0.7680645054048284, -0.5530656192853861, 0.12296623944699403, 0.1871789140960115];

Generation: 0; Duration: 2; MaxIterations: 2; Population: 12; Fitness: -0.08812500144137782; Solution So Far: Solution: [-0.24435270143972293, -0.23551893907608382, -0.3571036894443549, 0.056913007822096295, -0.06998768612658779, -0.24399277598414737, -0.7742432860349016, 0.7839705068614492];

Generation: 0; Duration: 2; MaxIterations: 2; Population: 12; Fitness: 0.18928740101444988; Solution So Far: Solution: [0.40277247769611496, -0.4655154797777472, -0.26858170342837817, -0.5849616089478205, 0.49229940265539196, 0.37388520081917803, -0.3260247603231234, 0.7492837132496446];

Generation: 0; Duration: 2; MaxIterations: 2; Population: 12; Fitness: 0.11465795746652699; Solution So Far: Solution: [0.2852793774108238, -0.6284009163502811, 0.49343186495333435, -0.45158204848660843, 0.194194468447353, -0.054845762302724865, 0.7622695940558988, 0.768198105407887];

Generation: 0; Duration: 2; MaxIterations: 2; Population: 12; Fitness: -0.2644462433265782; Solution So Far: Solution: [0.7713480831786483, -0.2374066123076229, -0.31100459186074625, -0.61019739472478, 0.7650631631493209, 0.24344315349744833, 0.5211619278301781, 0.7833074525619839];

Generation: 0; Duration: 2; MaxIterations: 2; Population: 12; Fitness: 0.10425766988164992; Solution So Far: Solution: [0.3359684637756065, -0.44718604835969744, -0.20942521341951864, -0.76879508078723, -0.496338658708295, -0.02582889303035857, -0.5947758738192754, 0.11044763681555614];

Generation: 0; Duration: 2; MaxIterations: 2; Population: 12; Fitness: -0.2644462433265782; Solution So Far: Solution: [0.7713480831786483, -0.2374066123076229, -0.31100459186074625, -0.61019739472478, 0.7650631631493209, 0.24344315349744833, 0.5211619278301781, 0.7833074525619839];

Generation: 0; Duration: 2; MaxIterations: 2; Population: 12; Fitness: 0.021534638870856833; Solution So Far: Solution: [-0.3426138096369302, -0.7695427097562841, -0.0647735554326045, 0.016557953522574498, 0.23140073062856523, -0.6947315874191267, 0.7001044569391298, 0.4840277537135401];

Generation: 0; Duration: 2; MaxIterations: 2; Population: 12; Fitness: -0.14952707399848456; Solution So Far: Solution: [0.36942729443100397, -0.5418881131349103, -0.21983829699890817, -0.20094714074740433, 0.7802306894787522, 0.5151984612348505, 0.03900933172464788, 0.32132232041979125];

Generation: 1; Duration: 2; MaxIterations: 2; Population: 12; Fitness: -0.14952707399848456; Solution So Far: Solution: [0.36942729443100397, -0.5418881131349103, -0.21983829699890817, -0.20094714074740433, 0.7802306894787522, 0.5151984612348505, 0.03900933172464788, 0.32132232041979125];

