Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 1.5381465717221312; Solution So Far: Solution: [-0.2072526571071862, -0.24277123547664478, 0.4150402449903201, -0.49285203813157186, 0.6362479056876019, 0.16055112804808291, 0.34252099130809216, -0.7511393067071013];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.14582392760208418; Solution So Far: Solution: [-0.21234546812688804, 0.28201866771483, -0.03208918226505736, 0.04278526137377758, 0.7527776695272488, 0.668202153161622, 0.4581248648092549, 0.12584153889448713];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 0.234626955703547; Solution So Far: Solution: [-0.1600241040509189, 0.1213645720031126, -0.12260546449775839, -0.22626252034944905, 0.11406394017698446, 0.20993507498504504, 0.502795803478007, 0.7783069775383794];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 1.4286870241028296; Solution So Far: Solution: [-0.04617584118543028, -0.7195162551152104, 0.7566283899575393, -0.3324153648286458, 0.451302692413986, -0.1851850527591739, 0.42404012386992335, -0.6590211353128144];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 0.37507721752182943; Solution So Far: Solution: [-0.047531322097195655, -0.06519314357578823, 0.18169307996427264, -0.5317480783369062, 0.7849238136204211, -0.7535858095762462, 0.5701232532547628, 0.7843408981717086];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 0.5615195955693004; Solution So Far: Solution: [-0.3028827877945646, 0.47999036612244683, 0.1602066368064474, -0.1996401815281923, 0.4361736873520291, 0.3663775981030215, 0.7506999269764695, 0.2450281042640139];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.3513782503044496; Solution So Far: Solution: [-0.007905513952829228, -0.35428847235133365, 0.24953538040639184, -0.12612813315232851, 0.44375152922126837, 0.21999531670461742, -0.06444956333792246, 0.5337130917642628];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.3513782503044496; Solution So Far: Solution: [-0.007905513952829228, -0.35428847235133365, 0.24953538040639184, -0.12612813315232851, 0.44375152922126837, 0.21999531670461742, -0.06444956333792246, 0.5337130917642628];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.42071914942622346; Solution So Far: Solution: [0.008499796758843103, -0.41911957207565836, 0.5168580605546897, -0.7308697207715641, 0.3759525369799067, 0.7065068842502263, 0.22883674728836423, 0.393875829477507];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.7576519224721338; Solution So Far: Solution: [-0.7682015772222167, -0.4678580409787816, 0.7843107967207165, 0.08707292331133715, 0.7770483461853857, 0.046247795955631776, 0.6433419930168883, 0.37305336364962083];

Generation: 1; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.7576519224721338; Solution So Far: Solution: [-0.7682015772222167, -0.4678580409787816, 0.7843107967207165, 0.08707292331133715, 0.7770483461853857, 0.046247795955631776, 0.6433419930168883, 0.37305336364962083];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -1.6079688094540667; Solution So Far: Solution: [0.601431002861438, 0.6794127746737779, 0.5287923512419698, -0.7622648134271778, 0.3187642419436756, 0.42285235469502297, 0.1612487843995929, 0.7836039106373789];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.8082818542658488; Solution So Far: Solution: [-0.27205270080143584, -0.674205306897444, 0.3783069222424254, 0.16877433393653962, 0.6857697311673119, 0.16573105962931722, 0.4394140328407431, 0.18994380946097533];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -1.4066239336464275; Solution So Far: Solution: [0.1872421261297636, 0.4507063318407689, 0.6931466774080314, -0.1271573584296832, -0.16550765634747566, 0.763719278066517, -0.05676293246859221, 0.17493207557362922];

Generation: 2; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -1.6079688094540667; Solution So Far: Solution: [0.601431002861438, 0.6794127746737779, 0.5287923512419698, -0.7622648134271778, 0.3187642419436756, 0.42285235469502297, 0.1612487843995929, 0.7836039106373789];

