Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 14.374522216697798; Solution So Far: Solution: [0.5726326525091946, -0.41074257429043404, 0.6846760682730729, 0.7742763331256479, -0.40873157962030765, 0.782672861644498, 0.37328215087608707, 0.7817272562630188];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 2.372594714864088; Solution So Far: Solution: [0.7853980567996038, -0.4070499756579929, -0.5659555376288806, 0.7094684075322891, -0.5027019502312363, -0.19008842941906334, 0.18929362418380713, 0.410032834271288];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 4.579718493900441; Solution So Far: Solution: [0.7850560171743425, -0.4695542598846075, -0.056502028412730346, -0.7852050863734026, -0.4585336337656133, 0.5360869905461166, -0.44386322954866797, -0.7841208717774799];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 0.5722571502685668; Solution So Far: Solution: [-0.07828924876948584, 0.34529566777558024, -0.7828943062182878, -0.10722959944579069, 0.4548562787169912, 0.7397115160153394, -0.14744228453371333, 0.28197730825072626];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 0.6627581847578589; Solution So Far: Solution: [0.4008360089278319, -0.022704344575131943, 0.3757676870952169, -0.4475613877725114, 0.309957720356974, 0.7774337680828183, 0.7744691282149272, 0.7175448056224722];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 1.4443081713406638; Solution So Far: Solution: [0.6108467296414631, 0.268591268611612, -0.3761330126111775, 0.7768265012954957, 0.5044877188094926, 0.7807751936155645, 0.05081794059679701, 0.7577593482639605];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 0.7981519879778219; Solution So Far: Solution: [0.5025267237458193, 0.4314881594310467, 0.013326543174877414, -0.2295592189171054, 0.7844842257211228, 0.4013222753406146, 0.42834337633674446, 0.4682060027841813];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 1.1483149614770756; Solution So Far: Solution: [0.33248931201075194, -0.7421391871530776, 0.009249582150921448, -0.31641294425536837, -0.5170742937067404, 0.5752767969990685, 0.055812394404765486, -0.7702949253096142];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 0.05667954275290332; Solution So Far: Solution: [0.2616405965253311, 0.5111146052715383, -0.20510053648475415, 0.2742083913370785, -0.0489901530395529, 0.058104964366997525, 0.2773256015356884, 0.37683148675473366];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 0.05667954275290332; Solution So Far: Solution: [0.2616405965253311, 0.5111146052715383, -0.20510053648475415, 0.2742083913370785, -0.0489901530395529, 0.058104964366997525, 0.2773256015356884, 0.37683148675473366];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 0.46501894864518245; Solution So Far: Solution: [0.052321643367237325, -0.37515271856967575, 0.05535118680790202, -0.6790916036714827, 0.5824882522356672, -0.17663181861920352, 0.5718355435332599, 0.7768535499657298];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -1.0087765346614632; Solution So Far: Solution: [0.7670636546163954, 0.48245522274627495, -0.6936559011344268, 0.4204305095452165, 0.08505468718976594, 0.7578057964705468, -0.5998128086581489, 0.650740608221748];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 0.3913263967038657; Solution So Far: Solution: [0.11047607450838565, 0.7070724241224281, 0.035976938765055255, 0.5545113434619379, 0.3298695787511474, 0.13893360831586166, -0.13670574734864882, 0.7304016173288528];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 0.11738346927542653; Solution So Far: Solution: [0.04140451127497258, 0.7851924780472791, 0.7243255231591831, 0.30005610666017346, 0.4972149602858923, -0.07141312004879774, 0.7852990550798913, 0.5890557342741624];

Generation: 1; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -1.0087765346614632; Solution So Far: Solution: [0.7670636546163954, 0.48245522274627495, -0.6936559011344268, 0.4204305095452165, 0.08505468718976594, 0.7578057964705468, -0.5998128086581489, 0.650740608221748];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -1.487005699246444; Solution So Far: Solution: [0.2525441009207534, 0.659936676689063, 0.7774564344599297, 0.4832257368757234, -0.382908566371718, 0.7262089661614648, 0.2976670685729228, -0.08572711480305606];

Generation: 2; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -1.487005699246444; Solution So Far: Solution: [0.2525441009207534, 0.659936676689063, 0.7774564344599297, 0.4832257368757234, -0.382908566371718, 0.7262089661614648, 0.2976670685729228, -0.08572711480305606];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.20419070863731664; Solution So Far: Solution: [-0.08279121392171218, -0.39731962853093616, 0.35864515056369595, 0.537296839481902, -0.7790012595972131, 0.5355519006781815, 0.5974405362642884, 0.0787794780189715];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.1835497891128165; Solution So Far: Solution: [0.05947412208244662, 0.15437413735661754, 0.4035707031478146, 0.24841905679533471, -0.05914574965947361, -0.0005537948861424891, 0.7125596312699827, 0.18663199549276133];

Generation: 3; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.31096533116853436; Solution So Far: Solution: [0.01535664377145518, 0.18897478333641482, 0.12481201203160613, 0.6996335929800048, 0.6688674697719436, 0.6686886695746418, -0.3155542918841615, 0.5840448972611173];

